File,Vulns,Trivy,Checkov,Kubeaudit,KubeLinter,Polaris,KubeScore,Kubescape,Conftest (OPA),KubeConform,RBAC-Police,Pluto,Gitleaks,Yamllint
13.nginx_privileged_deployment.yaml,Using latest tag,✔,✔,,✔,✔,✔,✔,✔,,,,,

14.deployment_single_replica.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,,,,,,
14.deployment_single_replica.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
14.deployment_single_replica.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,Deployment selector missing,,,,,,,✔,,,,,,
14.deployment_single_replica.yaml,Docker socket mounted,,,,,,,✔,,,,,,
14.deployment_single_replica.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,Image not pinned by digest,✔,✔,,,✔,✔,,,,,,,
14.deployment_single_replica.yaml,ImagePullPolicy not Always,,,,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
14.deployment_single_replica.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
14.deployment_single_replica.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
14.deployment_single_replica.yaml,No CPU limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,No CPU request,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
14.deployment_single_replica.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
14.deployment_single_replica.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,Privilege escalation allowed,✔,✔,✔,,✔,,✔,✔,,,,,
14.deployment_single_replica.yaml,Privileged container,✔,,,,✔,,✔,,,,,,
14.deployment_single_replica.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
14.deployment_single_replica.yaml,Single replica (non-HA),✔,✔,✔,✔,,,✔,✔,,,,,
14.deployment_single_replica.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
14.deployment_single_replica.yaml,Using latest tag,✔,✔,,✔,✔,✔,✔,✔,,,,,

14.genkubesec_privileged_pod.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Deployment selector missing,,,,,,,✔,,,,,,
14.genkubesec_privileged_pod.yaml,Docker socket mounted,,,,,,,✔,,,,,,
14.genkubesec_privileged_pod.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,,,,,,
14.genkubesec_privileged_pod.yaml,Image not pinned by digest,✔,✔,,,✔,✔,,✔,,,,,
14.genkubesec_privileged_pod.yaml,ImagePullPolicy not Always,,,,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
14.genkubesec_privileged_pod.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
14.genkubesec_privileged_pod.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
14.genkubesec_privileged_pod.yaml,No CPU limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No CPU request,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
14.genkubesec_privileged_pod.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
